cohort_date_proxy,acquisition_timestamp_basis,timezone_status,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,acquired_observed,seminar_applied_observed,seminar_applied_timestamped,meeting_applied_observed,meeting_applied_timestamped,observed_event_flags,timestamped_event_flags,event_timestamp_coverage_rate,event_timestamp_completeness,cohort_age_days,d7_denominator_eligible_proxy,d7_outcome_exact,snapshot_at,quality
2026-07-22,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,3,2,0.6666666666666666,partial,29,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-22,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,3,0,0,0,0,6,0,0,partial,29,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-22,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,5,0,0,0,0,6,1,0.16666666666666666,partial,29,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-23,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,3,0,0,0,0,6,0,0,partial,28,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-23,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,2,0,0,0,0,2,0,0,partial,28,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-24,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,2,0,0,partial,27,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-24,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,3,1,0.3333333333333333,partial,27,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-24,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,3,0,0,0,0,4,1,0.25,partial,27,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-25,proxy_reader_created_at,unverified,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,1,0,0,0,0,1,1,1,complete,26,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-25,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,26,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
