registration_date,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,registered,zoom_applied,seminar_applied,vsl_offered,vsl_started,vsl_completed,meeting_applied,meeting_from_vsl,meeting_from_seminar,openchat_offered,openchat_clicked,snapshot_at,quality
2026-08-06,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,MZOtIDFBYQY,【最新版！】Claude Code完全入門マニュアル,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-06,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-06,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,WRjN6UeNtcE,【最新版】今アツい稼げるAI副業5選 |Claude CodeやCodexを活用して時代に乗る方法,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-09,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-09,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-10,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,98se0y1flLo,【AI業界に激震】Claude Fable5は裏側で一体何が起きたのか？,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-10,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-10,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,2,0,0,1,1,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-11,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,MZOtIDFBYQY,【最新版！】Claude Code完全入門マニュアル,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-11,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-08-11,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
